id,query_nl,query_style,language,malware_family,malware_type,mitre_technique,mitre_id,rule_name,yara_rule,label,difficulty,source_type
1,Detect a ransomware that encrypts files and uses the string CryptEncrypt,technical,en,WannaCry,ransomware,Data Encrypted for Impact,T1486,Detect_WannaCry_CryptEncrypt,"rule Detect_WannaCry_CryptEncrypt { meta: description=""Detects WannaCry ransomware via CryptEncrypt API"" author=""Manual"" date=""2026-01-10"" strings: $api = ""CryptEncrypt"" $ext = "".WNCRY"" $msg = ""WannaCry"" condition: $api and ($ext or $msg) }",malicious,easy,manual
2,Détecter un ransomware qui renomme les fichiers avec l'extension .locked,formal_fr,fr,LockBit,ransomware,Data Encrypted for Impact,T1486,Detect_LockBit_Extension,"rule Detect_LockBit_Extension { meta: description=""Detects LockBit via .locked extension"" author=""Manual"" date=""2026-01-10"" strings: $ext1 = "".locked"" fullword $ext2 = "".lockbit"" fullword $note = ""LockBit_Readme.txt"" condition: any of them }",malicious,easy,manual
3,i need a rule to catch malware that downloads stuff from the internet and hides itself,informal,en,Generic Downloader,trojan,Ingress Tool Transfer,T1105,Detect_Generic_Downloader,"rule Detect_Generic_Downloader { meta: description=""Detects generic downloader trojan"" strings: $url1 = ""http://"" $url2 = ""https://"" $dl = ""URLDownloadToFile"" $hide = ""SetFileAttributesA"" condition: ($url1 or $url2) and $dl and $hide }",malicious,medium,manual
4,Règle YARA pour détecter un keylogger qui capture les frappes clavier,technical_fr,fr,Generic Keylogger,spyware,Input Capture: Keylogging,T1056.001,Detect_Keylogger_API,"rule Detect_Keylogger_API { meta: description=""Detects keylogger via Windows API"" author=""Manual"" strings: $api1 = ""SetWindowsHookEx"" $api2 = ""GetAsyncKeyState"" $api3 = ""GetKeyboardState"" $log = ""keylog"" nocase condition: 2 of ($api1, $api2, $api3) or $log }",malicious,medium,manual
5,detect pe file that injects code into other processes using CreateRemoteThread,technical,en,Injector,trojan,Process Injection,T1055,Detect_Process_Injection_CRT,"rule Detect_Process_Injection_CRT { meta: description=""Detects process injection via CreateRemoteThread"" strings: $api1 = ""CreateRemoteThread"" $api2 = ""VirtualAllocEx"" $api3 = ""WriteProcessMemory"" $api4 = ""OpenProcess"" condition: pe.is_pe and 3 of them }",malicious,hard,manual
6,Je veux détecter un virus qui se propage via clé USB et crée des fichiers autorun,formal_fr,fr,USB Worm,worm,Replication Through Removable Media,T1091,Detect_USB_Worm_Autorun,"rule Detect_USB_Worm_Autorun { meta: description=""Detects USB worm using autorun.inf"" strings: $autorun = ""autorun.inf"" nocase $open = ""open="" $shell = ""shell\\open\\command"" condition: $autorun and ($open or $shell) }",malicious,easy,manual
7,find malware that uses base64 encoding to hide its payload and decodes it at runtime,technical,en,Obfuscated Malware,trojan,Obfuscated Files or Information,T1027,Detect_Base64_Obfuscation,"rule Detect_Base64_Obfuscation { meta: description=""Detects base64-encoded payload execution"" strings: $b64 = /[A-Za-z0-9+\/]{40,}={0,2}/ $decode = ""CryptStringToBinary"" $ps = ""FromBase64String"" condition: ($b64 and $decode) or $ps }",malicious,medium,manual
8,détecter un malware qui désactive l'antivirus Windows Defender,informal_fr,fr,Defender Killer,trojan,Impair Defenses,T1562.001,Detect_Disable_Defender,"rule Detect_Disable_Defender { meta: description=""Detects attempt to disable Windows Defender"" strings: $cmd1 = ""Set-MpPreference -DisableRealtimeMonitoring"" nocase $cmd2 = ""sc stop WinDefend"" nocase $cmd3 = ""DisableAntiSpyware"" $reg = ""Windows Defender\\\\Real-Time Protection"" condition: any of them }",malicious,medium,manual
9,Write a YARA rule to detect Emotet banking trojan communicating with C2 servers,technical,en,Emotet,banker,Command and Control,T1071,Detect_Emotet_C2,"rule Detect_Emotet_C2 { meta: description=""Detects Emotet C2 communication patterns"" author=""Manual"" strings: $mutex = ""Global\\\\Emotet"" nocase $pdb = ""emotet"" nocase $useragent = ""Mozilla/4.0"" $inet = ""InternetOpenUrl"" condition: pe.is_pe and (($mutex or $pdb) and ($useragent or $inet)) }",malicious,hard,manual
10,je cherche a identifier un ransomware de type double extorsion qui exfiltre avant de chiffrer,technical_fr,fr,BlackCat,ransomware,Exfiltration Over C2 Channel,T1041,Detect_DoubleExtortion_Ransomware,"rule Detect_DoubleExtortion_Ransomware { meta: description=""Detects double extortion ransomware pattern"" strings: $exfil = ""curl.exe"" $compress = ""7z.exe"" $encrypt = ""CryptEncrypt"" $note1 = ""YOUR FILES ARE ENCRYPTED"" nocase $note2 = ""double extortion"" nocase condition: ($exfil or $compress) and $encrypt and any of ($note1, $note2) }",malicious,hard,manual
11,detect a trojan that modifies the Windows registry for persistence at startup,technical,en,Generic Trojan,trojan,Registry Run Keys / Startup Folder,T1547.001,Detect_Registry_Persistence,"rule Detect_Registry_Persistence { meta: description=""Detects registry-based persistence mechanism"" strings: $reg1 = ""SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run"" $reg2 = ""SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\RunOnce"" $api = ""RegSetValueEx"" condition: ($reg1 or $reg2) and $api }",malicious,easy,manual
12,Détecter un malware qui utilise PowerShell pour télécharger et exécuter du code,technical_fr,fr,PowerShell Dropper,dropper,Command and Scripting Interpreter: PowerShell,T1059.001,Detect_PowerShell_Download_Exec,"rule Detect_PowerShell_Download_Exec { meta: description=""Detects PowerShell download cradle"" strings: $ps1 = ""powershell"" nocase $dl1 = ""DownloadString"" $dl2 = ""DownloadFile"" $iex = ""IEX"" $invoke = ""Invoke-Expression"" condition: $ps1 and ($dl1 or $dl2) and ($iex or $invoke) }",malicious,medium,manual
13,rule to detect a rootkit that hooks system calls to hide processes,technical,en,Generic Rootkit,rootkit,Hide Artifacts,T1564,Detect_Rootkit_SSDT_Hook,"rule Detect_Rootkit_SSDT_Hook { meta: description=""Detects rootkit via SSDT hook signatures"" strings: $ssdt = ""\\\\\\\\Device\\\\\\\\PhysicalMemory"" $zwq = ""ZwQuerySystemInformation"" $hook = { 90 90 90 E9 ?? ?? ?? ?? } $driver = ""\\\\.\\\\PhysicalDrive"" condition: ($ssdt and $zwq) or ($hook and $driver) }",malicious,hard,manual
14,un simple virus qui copie des fichiers et se réplique sur le réseau,informal_fr,fr,Network Worm,worm,Lateral Movement,T1021,Detect_Network_Worm_Replication,"rule Detect_Network_Worm_Replication { meta: description=""Detects worm replication via network shares"" strings: $copy = ""CopyFile"" $net1 = ""\\\\\\\\*\\\\*"" $net2 = ""net use"" $ipc = ""IPC$"" condition: $copy and ($net1 or $net2 or $ipc) }",malicious,medium,manual
15,detect spyware that takes screenshots and sends them to a remote server,technical,en,Spyware,spyware,Screen Capture,T1113,Detect_Screenshot_Spyware,"rule Detect_Screenshot_Spyware { meta: description=""Detects spyware capturing screenshots"" strings: $api1 = ""BitBlt"" $api2 = ""GetDesktopWindow"" $api3 = ""CreateCompatibleBitmap"" $send = ""send"" $ftp = ""ftp"" nocase condition: 2 of ($api1, $api2, $api3) and ($send or $ftp) }",malicious,medium,manual
