"id","query_nl","query_style","language","malware_family","malware_type","mitre_technique","mitre_id","rule_name","yara_rule","label","difficulty","source_type"
"1","Detect a ransomware that encrypts files using CryptEncrypt API","technical","en","WannaCry","ransomware","Data Encrypted for Impact","T1486","Detect_WannaCry_CryptEncrypt","rule Detect_WannaCry_CryptEncrypt : ransomware encryption
{
    meta:
        description = ""Detects WannaCry ransomware via CryptEncrypt API and .WNCRY extension""
        author      = ""Student Dataset""
        date        = ""2026-01-10""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1486/""

    strings:
        // Windows crypto API used for file encryption
        $api1 = ""CryptEncrypt""
        $api2 = ""CryptAcquireContext"" nocase

        // WannaCry specific file extension
        $ext  = "".WNCRY"" fullword

        // Ransom note filename
        $note = ""@Please_Read_Me@.txt"" fullword

        // WannaCry string marker
        $mark = ""WannaCry"" nocase

    condition:
        pe.is_pe and
        filesize < 10MB and
        $api1 and
        ($ext or $note or $mark)
}","malicious","easy","manual"
"2","Détecter un ransomware LockBit qui renomme les fichiers avec l'extension .locked","technical_fr","fr","LockBit","ransomware","Data Encrypted for Impact","T1486","Detect_LockBit_Extension","rule Detect_LockBit_Extension : ransomware lockbit
{
    meta:
        description = ""Detects LockBit ransomware via .locked extension and ransom note""
        author      = ""Student Dataset""
        date        = ""2026-01-10""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1486/""

    strings:
        // LockBit file extensions
        $ext1 = "".locked""  fullword
        $ext2 = "".lockbit"" fullword

        // LockBit ransom note
        $note = ""LockBit_Readme.txt"" fullword

        // LockBit string in binary
        $id   = ""LockBit"" nocase

        // Hex pattern found in LockBit samples
        $hex1 = { 4C 6F 63 6B 42 69 74 }

    condition:
        filesize < 5MB and
        ($ext1 or $ext2 or $note) and
        ($id or $hex1)
}","malicious","easy","manual"
"3","i need a rule to catch malware that downloads files from internet and hides itself","informal","en","Generic Downloader","trojan","Ingress Tool Transfer","T1105","Detect_Generic_Downloader","rule Detect_Generic_Downloader : trojan downloader
{
    meta:
        description = ""Detects generic downloader trojan using URLDownloadToFile and file hiding""
        author      = ""Student Dataset""
        date        = ""2026-01-11""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1105/""

    strings:
        // URL patterns for download
        $url1 = ""http://""  wide ascii
        $url2 = ""https://"" wide ascii

        // Windows API for downloading files
        $dl   = ""URLDownloadToFile"" wide ascii

        // API to hide downloaded file
        $hide = ""SetFileAttributesA""

        // Common hidden attribute value
        $attr = { 02 00 00 00 }

    condition:
        pe.is_pe and
        filesize < 2MB and
        ($url1 or $url2) and
        $dl and
        $hide
}","malicious","medium","manual"
"4","Règle YARA pour détecter un keylogger capturant les frappes clavier","technical_fr","fr","Generic Keylogger","spyware","Input Capture: Keylogging","T1056.001","Detect_Keylogger_API","rule Detect_Keylogger_API : spyware keylogger
{
    meta:
        description = ""Detects keylogger using Windows hook API to capture keystrokes""
        author      = ""Student Dataset""
        date        = ""2026-01-11""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1056/001/""

    strings:
        // Windows global keyboard hook
        $api1 = ""SetWindowsHookEx""  wide ascii
        $api2 = ""GetAsyncKeyState""  wide ascii
        $api3 = ""GetKeyboardState""  wide ascii

        // Log file name pattern
        $log1 = ""keylog"" nocase
        $log2 = ""keystroke"" nocase

        // Hex opcode for hook callback pattern
        $hex1 = { 55 8B EC 83 EC ?? 53 56 57 }

    condition:
        pe.is_pe and
        filesize < 5MB and
        (2 of ($api1, $api2, $api3)) and
        ($log1 or $log2 or $hex1)
}","malicious","medium","manual"
"5","detect PE file that injects code into other processes using CreateRemoteThread","technical","en","Injector","trojan","Process Injection","T1055","Detect_Process_Injection_CRT","rule Detect_Process_Injection_CRT : trojan injection
{
    meta:
        description = ""Detects classic process injection via CreateRemoteThread technique""
        author      = ""Student Dataset""
        date        = ""2026-01-11""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1055/""

    strings:
        // Classic injection API chain
        $api1 = ""CreateRemoteThread"" wide ascii
        $api2 = ""VirtualAllocEx""     wide ascii
        $api3 = ""WriteProcessMemory"" wide ascii
        $api4 = ""OpenProcess""        wide ascii

        // LoadLibrary for DLL injection variant
        $api5 = ""LoadLibraryA""       wide ascii

        // PE magic bytes
        $mz   = { 4D 5A }

    condition:
        pe.is_pe and
        filesize < 20MB and
        $mz at 0 and
        3 of ($api1, $api2, $api3, $api4) and
        $api5
}","malicious","hard","manual"
"6","Je veux détecter un virus qui se propage via clé USB via autorun.inf","formal_fr","fr","USB Worm","worm","Replication Through Removable Media","T1091","Detect_USB_Worm_Autorun","rule Detect_USB_Worm_Autorun : worm usb autorun
{
    meta:
        description = ""Detects USB worm using autorun.inf to spread via removable media""
        author      = ""Student Dataset""
        date        = ""2026-01-12""
        severity    = ""medium""
        reference   = ""https://attack.mitre.org/techniques/T1091/""

    strings:
        // Autorun configuration file
        $autorun = ""autorun.inf"" nocase

        // Autorun open command
        $open    = ""open=""

        // Shell command override
        $shell   = ""shell\open\command"" nocase

        // Self-copy pattern
        $copy    = ""CopyFileA"" wide ascii

    condition:
        filesize < 1MB and
        $autorun and
        ($open or $shell) and
        $copy
}","malicious","easy","manual"
"7","find malware using base64 encoding to hide payload and decode it at runtime","technical","en","Obfuscated Malware","trojan","Obfuscated Files or Information","T1027","Detect_Base64_Obfuscation","rule Detect_Base64_Obfuscation : trojan obfuscation
{
    meta:
        description = ""Detects base64-encoded payload decoded and executed at runtime""
        author      = ""Student Dataset""
        date        = ""2026-01-12""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1027/""

    strings:
        // Long base64 string pattern
        $b64   = /[A-Za-z0-9+\/]{60,}={0,2}/

        // Windows crypto decode API
        $decode1 = ""CryptStringToBinary"" wide ascii

        // PowerShell decode function
        $decode2 = ""FromBase64String""    wide ascii

        // Python decode pattern
        $decode3 = ""b64decode""           wide ascii

    condition:
        filesize < 10MB and
        $b64 and
        ($decode1 or $decode2 or $decode3)
}","malicious","medium","manual"
"8","détecter un malware qui désactive Windows Defender pour rester invisible","informal_fr","fr","Defender Killer","trojan","Impair Defenses","T1562.001","Detect_Disable_Windows_Defender","rule Detect_Disable_Windows_Defender : trojan defense_evasion
{
    meta:
        description = ""Detects attempt to disable Windows Defender real-time protection""
        author      = ""Student Dataset""
        date        = ""2026-01-12""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1562/001/""

    strings:
        // PowerShell command to disable Defender
        $cmd1 = ""Set-MpPreference -DisableRealtimeMonitoring"" nocase wide ascii

        // Service stop command
        $cmd2 = ""sc stop WinDefend"" nocase

        // Registry key to disable
        $reg1 = ""DisableAntiSpyware""

        // Defender registry path
        $reg2 = ""Windows Defender\Real-Time Protection"" nocase

    condition:
        filesize < 5MB and
        any of them
}","malicious","medium","manual"
"9","Write a YARA rule to detect Emotet banking trojan C2 communication","technical","en","Emotet","banker","Command and Control","T1071","Detect_Emotet_C2","rule Detect_Emotet_C2 : banker trojan c2
{
    meta:
        description = ""Detects Emotet banking trojan C2 communication and mutex artifacts""
        author      = ""Student Dataset""
        date        = ""2026-01-13""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1071/""

    strings:
        // Emotet mutex pattern
        $mutex = ""Global\Emotet"" nocase

        // PDB debug string
        $pdb   = ""emotet"" nocase

        // Fake browser user-agent used by Emotet
        $ua    = ""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1)"" wide ascii

        // Network API for C2 contact
        $inet  = ""InternetOpenUrl"" wide ascii

        // Emotet hex signature
        $hex1  = { 8B 45 FC 83 C0 01 89 45 FC 8B 45 FC 3B 45 F4 }

    condition:
        pe.is_pe and
        filesize < 5MB and
        ($mutex or $pdb) and
        ($ua or $inet or $hex1)
}","malicious","hard","manual"
"10","détecter un ransomware double extorsion qui exfiltre avant de chiffrer les données","technical_fr","fr","BlackCat","ransomware","Exfiltration Over C2 Channel","T1041","Detect_DoubleExtortion_Ransomware","rule Detect_DoubleExtortion_Ransomware : ransomware exfiltration
{
    meta:
        description = ""Detects double extortion ransomware: exfiltrates then encrypts""
        author      = ""Student Dataset""
        date        = ""2026-01-13""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1041/""

    strings:
        // Exfiltration tools
        $exfil1 = ""curl.exe""   nocase wide ascii
        $exfil2 = ""rclone.exe"" nocase wide ascii

        // Compression before exfil
        $compress = ""7z.exe""   nocase wide ascii

        // Encryption API
        $encrypt  = ""CryptEncrypt"" wide ascii

        // Ransom note markers
        $note1 = ""YOUR FILES ARE ENCRYPTED""   nocase
        $note2 = ""double extortion""           nocase
        $note3 = ""visit our dark web""         nocase

    condition:
        pe.is_pe and
        filesize < 20MB and
        ($exfil1 or $exfil2 or $compress) and
        $encrypt and
        any of ($note1, $note2, $note3)
}","malicious","hard","manual"
