id,malware_family,platform,writing_style,description,severity,behaviors,retrieval_queries,candidate_strings,api_calls,registry_keys,mutex_names,domains,yara_template_hint,expected_yara_features,yara_tags
1,rançongiciel,android,technique,"L'échantillon crypte les répertoires partagés du système, exploite l'Accessibility Service afin de maintenir son emprise.",critique,impact|persistence|defense_evasion,malware qui chiffre les fichiers|note de rançon bitcoin|rançongiciel|rançongiciel android mobile APK|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|!!!READ_ME!!!|README_RESTORE.txt|AES-256|bitcoin,javax.crypto|File.renameTo|Environment.getExternalStorageDirectory,,,,encryption|accessibility_abuse,AES256|EVP_EncryptInit_ex|AccessibilityService|javax.crypto|File.renameTo|DECRYPT_INSTRUCTIONS.html|!!!READ_ME!!!,rançongiciel|android|critique|encryption|accessibility_abuse
2,rançongiciel,windows,description_detaillee,"Une analyse approfondie montre que la menace rend les données inaccessibles via un chiffrement hybride. Par ailleurs, il neutralise les points de restauration du système.",critique,impact,rançongiciel|fichiers verrouillés extension|rançongiciel windows|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|Your files have been encrypted|tor browser|AES-256,WriteFile|CryptGenKey|FindNextFileW|MoveFileExW|FindFirstFileW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\LockEncMtx,,shadow_copy_deletion|encryption,vssadmin_delete_shadows|AES256|CryptEncrypt|WriteFile|CryptGenKey|DECRYPT_INSTRUCTIONS.html|Your files have been encrypted|HKCU_Run_Key,rançongiciel|windows|critique|shadow_copy_deletion|encryption
3,rançongiciel,windows,reponse_incident,"Lors de l'incident, l'acteur a déployé un outil qui s'installe comme service Windows pour persister, puis crypte les répertoires partagés du système, puis détruit les sauvegardes locales avant le chiffrement, puis recense la configuration et les logiciels installés.",critique,impact|persistence|discovery,ransomware AES|note de rançon bitcoin|demande de rançon|rançongiciel windows|chiffrement de fichiers,Vos fichiers ont été chiffrés|AES-256|!!!READ_ME!!!,MoveFileExW|WriteFile|CreateFileW,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\LockEncMtx,,shadow_copy_deletion|encryption|windows_service|system_discovery,vssadmin_delete_shadows|AES256|CryptEncrypt|service_install_string|systeminfo_enum|MoveFileExW|WriteFile|Vos fichiers ont été chiffrés,rançongiciel|windows|critique|shadow_copy_deletion|encryption|windows_service|system_discovery
4,rançongiciel,windows,description_detaillee,"Une analyse approfondie montre que la menace ajoute une entrée d'exécution automatique dans le registre Windows. Par ailleurs, il détruit les sauvegardes locales avant le chiffrement.",critique,impact|persistence,malware qui chiffre les fichiers|note de rançon bitcoin|rançongiciel windows,tor browser|!!!READ_ME!!!|bitcoin|Vos fichiers ont été chiffrés|README_RESTORE.txt,FindFirstFileW|CreateFileW|CryptAcquireContextW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\LockEncMtx,,shadow_copy_deletion|registry_persistence,vssadmin_delete_shadows|HKCU_Run_Key|FindFirstFileW|CreateFileW|tor browser|!!!READ_ME!!!,rançongiciel|windows|critique|shadow_copy_deletion|registry_persistence
5,rançongiciel,android,rapport_analyste,Cette souche supprime les clichés instantanés de volume pour empêcher la restauration. Il dépose une note de rançon exigeant un paiement en cryptomonnaie et abuse des privilèges d'administrateur de l'appareil pour persister et cartographie l'environnement avant d'agir.,critique,impact|persistence|defense_evasion|discovery,note de rançon bitcoin|ransomware AES|rançongiciel android mobile APK,tor browser|!!!READ_ME!!!|DECRYPT_INSTRUCTIONS.html|.locked|bitcoin,javax.crypto|Environment.getExternalStorageDirectory|File.renameTo|Cipher.getInstance,,,,ransom_note|shadow_copy_deletion|device_admin_abuse|system_discovery,README_RESTORE.txt|ransom_note_string|vssadmin_delete_shadows|DeviceAdminReceiver|systeminfo_enum|javax.crypto|Environment.getExternalStorageDirectory|tor browser,rançongiciel|android|critique|ransom_note|shadow_copy_deletion|device_admin_abuse|system_discovery
6,rançongiciel,linux,alerte_courte,SIGNALEMENT : menace qui déploie une unité systemd afin de persister au boot et laisse un fichier de récupération réclamant une rançon.,critique,impact|persistence,ransomware AES|demande de rançon|malware qui chiffre les fichiers|rançongiciel linux,Vos fichiers ont été chiffrés|.locked|!!!READ_ME!!!|AES-256,readdir|rename|write,,,,ransom_note|systemd_service,README_RESTORE.txt|ransom_note_string|systemd_unit_file|readdir|rename|Vos fichiers ont été chiffrés|.locked,rançongiciel|linux|critique|ransom_note|systemd_service
7,rançongiciel,windows,alerte_courte,DÉTECTION : menace qui crée une tâche planifiée pour se relancer périodiquement et verrouille les fichiers utilisateurs à l'aide d'un algorithme symétrique.,critique,impact|persistence|discovery,note de rançon bitcoin|malware qui chiffre les fichiers|rançongiciel|rançongiciel windows|chiffrement de fichiers,Vos fichiers ont été chiffrés|Your files have been encrypted|.locked,CryptGenKey|FindFirstFileW|CryptAcquireContextW|WriteFile|MoveFileExW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\R4ns0mLock,,encryption|scheduled_task|system_discovery,AES256|CryptEncrypt|schtasks_create|systeminfo_enum|CryptGenKey|FindFirstFileW|Vos fichiers ont été chiffrés|Your files have been encrypted,rançongiciel|windows|critique|encryption|scheduled_task|system_discovery
8,rançongiciel,windows,technique,"L'échantillon présente des instructions de déchiffrement contre paiement, cartographie l'environnement avant d'agir.",critique,impact|discovery,demande de rançon|note de rançon bitcoin|rançongiciel|rançongiciel windows,tor browser|.crypt|Vos fichiers ont été chiffrés|Your files have been encrypted,CryptAcquireContextW|CreateFileW|FindNextFileW,HKLM\System\CurrentControlSet\Services,Global\R4ns0mLock,,ransom_note|system_discovery,README_RESTORE.txt|ransom_note_string|systeminfo_enum|CryptAcquireContextW|CreateFileW|tor browser|.crypt|HKCU_Run_Key,rançongiciel|windows|critique|ransom_note|system_discovery
9,rançongiciel,windows,description_detaillee,"Le rapport technique détaille un programme qui recense la configuration et les logiciels installés. Par ailleurs, il assure sa persistance via une clé Run du registre. Par ailleurs, il crypte les répertoires partagés du système.",critique,impact|persistence|discovery,ransomware AES|demande de rançon|rançongiciel windows|chiffrement de fichiers,AES-256|.crypt|Your files have been encrypted|DECRYPT_INSTRUCTIONS.html,FindFirstFileW|CryptEncrypt|FindNextFileW|MoveFileExW,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce|HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Global\LockEncMtx,,encryption|registry_persistence|system_discovery,AES256|CryptEncrypt|HKCU_Run_Key|systeminfo_enum|FindFirstFileW|AES-256|.crypt,rançongiciel|windows|critique|encryption|registry_persistence|system_discovery
10,rançongiciel,android,rapport_analyste,Ce logiciel malveillant dépose une note de rançon exigeant un paiement en cryptomonnaie. Il écoute l'événement BOOT_COMPLETED pour redémarrer après reboot et cartographie l'environnement avant d'agir.,critique,impact|persistence|discovery,note de rançon bitcoin|ransomware AES|malware qui chiffre les fichiers|rançongiciel android mobile APK,DECRYPT_INSTRUCTIONS.html|AES-256|.locked|Vos fichiers ont été chiffrés|.crypt,javax.crypto|Cipher.getInstance|File.renameTo,,,,ransom_note|boot_receiver|system_discovery,README_RESTORE.txt|ransom_note_string|BOOT_COMPLETED_receiver|systeminfo_enum|javax.crypto|Cipher.getInstance|DECRYPT_INSTRUCTIONS.html|AES-256,rançongiciel|android|critique|ransom_note|boot_receiver|system_discovery
11,rançongiciel,linux,description_detaillee,"Une analyse approfondie montre que la menace déploie une unité systemd afin de persister au boot. Par ailleurs, il laisse un fichier de récupération réclamant une rançon. Par ailleurs, il neutralise les points de restauration du système.",critique,impact|persistence,malware qui chiffre les fichiers|demande de rançon|fichiers verrouillés extension|rançongiciel linux,!!!READ_ME!!!|Vos fichiers ont été chiffrés|README_RESTORE.txt|Your files have been encrypted|DECRYPT_INSTRUCTIONS.html,rename|readdir|opendir,,,,shadow_copy_deletion|ransom_note|systemd_service,vssadmin_delete_shadows|README_RESTORE.txt|ransom_note_string|systemd_unit_file|rename|readdir|!!!READ_ME!!!|Vos fichiers ont été chiffrés,rançongiciel|linux|critique|shadow_copy_deletion|ransom_note|systemd_service
12,rançongiciel,windows,description_detaillee,"Le rapport technique détaille un programme qui utilise une souscription WMI pour se déclencher. Par ailleurs, il crypte les répertoires partagés du système.",critique,impact|persistence,rançongiciel|fichiers verrouillés extension|rançongiciel windows|chiffrement de fichiers,AES-256|Your files have been encrypted|.crypt|.locked,CreateFileW|CryptEncrypt|CryptGenKey|FindNextFileW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run|HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Global\R4ns0mLock,,encryption|wmi_subscription,AES256|CryptEncrypt|wmi_event_consumer|CreateFileW|AES-256|Your files have been encrypted|HKCU_Run_Key,rançongiciel|windows|critique|encryption|wmi_subscription
13,rançongiciel,android,reponse_incident,"Lors de l'incident, l'acteur a déployé un outil qui présente des instructions de déchiffrement contre paiement, puis détourne le service d'accessibilité pour rester actif.",critique,impact|persistence|defense_evasion,note de rançon bitcoin|ransomware AES|rançongiciel android mobile APK,.locked|DECRYPT_INSTRUCTIONS.html|README_RESTORE.txt,File.renameTo|Environment.getExternalStorageDirectory|javax.crypto|Cipher.getInstance,,,,ransom_note|accessibility_abuse,README_RESTORE.txt|ransom_note_string|AccessibilityService|File.renameTo|Environment.getExternalStorageDirectory|.locked|DECRYPT_INSTRUCTIONS.html,rançongiciel|android|critique|ransom_note|accessibility_abuse
14,rançongiciel,linux,description_detaillee,"Une analyse approfondie montre que la menace détourne les scripts d'initialisation système. Par ailleurs, il laisse un fichier de récupération réclamant une rançon. Par ailleurs, il rend les données inaccessibles via un chiffrement hybride. Par ailleurs, il cartographie l'environnement avant d'agir.",critique,impact|persistence|discovery,rançongiciel|demande de rançon|ransomware AES|rançongiciel linux|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|tor browser|.crypt|AES-256,EVP_EncryptInit_ex|rename|open|opendir|read,,,,ransom_note|encryption|rc_local|system_discovery,README_RESTORE.txt|ransom_note_string|AES256|EVP_EncryptInit_ex|rc.local_modification|systeminfo_enum|rename|DECRYPT_INSTRUCTIONS.html,rançongiciel|linux|critique|ransom_note|encryption|rc_local|system_discovery
